Addr Type,Addr,Addr (HEX),Name,Type,Access,DataType,Scale,Raw Data,Data,Description
,1,0x0001,,Holding Register,RW,,,,,
,2,0x0002,,Holding Register,RW,,,,,
,3,0x0003,,Holding Register,RW,,,,,
,4,0x0004,,Holding Register,RW,,,,,
,5,0x0005,,Holding Register,RW,,,,,
,6,0x0006,,,,,,,,
,7,0x0007,,,,,,,,
,8,0x0008,,,,,,,,
,9,0x0009,,,,,,,,
,10,0x000A,,,,,,,,
,11,0x000B,,,,,,,,
,12,0x000C,,,,,,,,
,13,0x000D,,,,,,,,
,14,0x000E,,,,,,,,
,15,0x000F,,,,,,,,
,16,0x0010,,Holding Register,RW,,,,,
,17,0x0011,,Holding Register,RW,,,,,
,18,0x0012,,Holding Register,RW,,,,,
,19,0x0013,,Holding Register,RW,,,,,
,20,0x0014,,Holding Register,RW,,,,,
,21,0x0015,,Holding Register,RW,,,,,
,22,0x0016,,,,,,,,
,23,0x0017,,,,,,,,
,24,0x0018,,,,,,,,
,25,0x0019,,,,,,,,
,26,0x001A,,,,,,,,
,27,0x001B,,,,,,,,
,28,0x001C,,,,,,,,
,29,0x001D,,,,,,,,
,30,0x001E,,,,,,,,
,31,0x001F,,,,,,,,
,32,0x0020,,,,,,,,
,33,0x0021,,,,,,,,
,34,0x0022,,,,,,,,
,35,0x0023,,,,,,,,
,36,0x0024,,,,,,,,
,37,0x0025,,,,,,,,
,38,0x0026,,,,,,,,
,39,0x0027,,,,,,,,
,40,0x0028,,,,,,,,
,41,0x0029,,,,,,,,
,42,0x002A,,,,,,,,
,43,0x002B,,,,,,,,
,44,0x002C,,,,,,,,
,45,0x002D,,,,,,,,
,46,0x002E,,,,,,,,
,47,0x002F,,,,,,,,
,48,0x0030,,,,,,,,
,49,0x0031,,,,,,,,
,50,0x0032,,Input Register,R,,,,,
,51,0x0033,,Input Register,R,,,,,
,52,0x0034,,Input Register,R,,,,,
,53,0x0035,,Input Register,R,,,,,
,54,0x0036,,Input Register,R,,,,,
,55,0x0037,,Input Register,R,,,,,
,56,0x0038,,Input Register,R,,,,,
,57,0x0039,,Input Register,R,,,,,
,58,0x003A,,Input Register,R,,,,,
,59,0x003B,,Input Register,R,,,,,
,60,0x003C,,Input Register,R,,,,,
,61,0x003D,,Input Register,R,,,,,
,62,0x003E,,Input Register,R,,,,,
,63,0x003F,,Input Register,R,,,,,
,64,0x0040,,Input Register,R,,,,,
,65,0x0041,,Input Register,R,,,,,
,66,0x0042,,Input Register,R,,,,,
,67,0x0043,,Input Register,R,,,,,
,68,0x0044,,Input Register,R,,,,,
,69,0x0045,,Input Register,R,,,,,
,70,0x0046,,Input Register,R,,,,,
,71,0x0047,,Input Register,R,,,,,
,72,0x0048,,Input Register,R,,,,,
,73,0x0049,,Input Register,R,,,,,
,74,0x004A,,Input Register,R,,,,,
,75,0x004B,,Input Register,R,,,,,
,76,0x004C,,Input Register,R,,,,,
,77,0x004D,,Input Register,R,,,,,
